148,Achatina fulica,10,2.2513,0.4587
149,Achatina fulica,FF,8.8623,0.5446
150,Cepaea fulica,A7,12.4749,-0.8279
151,Bulimus stagnalis,EE,12.3617,0.0824
152,Bulimus fulica,D7,12.1054,-0.8134
153,Cepaea fulica,4B,5.2133,0.2787
154,Cepaea ovata,61,11.4148,0.3551
155,Bulimus stagnalis,28,4.123,0.8175
156,Achatina stagnalis,03,3.4849,0.486
157,Helix aspera,18,2.3582,0.5542
158,Achatina nemoralis,FF,2.9507,0.3946
159,Helix ovata,8D,7.2181,0.8398
160,Helix aspera,20,5.031,0.8604
161,Achatina fulica,0C,7.4716,-0.4909
162,Bulimus fulica,42,0.2101,0.3132
163,Bulimus stagnalis,39,7.961,-0.7415
164,Helix nemoralis,79,2.8489,0.5926
165,Achatina fulica,64,11.8997,0.3925
166,Cepaea nemoralis,68,11.9794,0.7573
167,Lymnaea fulica,DE,5.3871,-0.2448
168,Bulimus aspera,CB,14.4526,0.7365
169,Bulimus nemoralis,08,3.115,-0.3152
170,Lymnaea fulica,4E,1.6883,-0.4983
171,Lymnaea stagnalis,01,0.22,0.4079
172,Achatina aspera,84,8.3736,0.0181
173,Helix fulica,ED,3.2338,-0.5201
174,Bulimus stagnalis,2F,13.5093,0.3495
175,Bulimus nemoralis,85,0.6849,-0.2215
176,Lymnaea stagnalis,E7,2.1873,-0.9331
177,Cepaea aspera,11,11.5691,0.6041
178,Lymnaea nemoralis,48,1.3336,-0.8888
179,Helix aspera,4A,8.1493,0.1602
180,Bulimus fulica,3B,12.4168,-0.4188zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzZSZZzZZzzZzzZzZZzzZzZzZzzzzzzzzzzzzzZzzzzzZZZzxzzxzxzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzxzxZZzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz
181,Achatina nemoralis,7F,2.7883,0.6946
182,Bulimus stagnalis,A8,0.2079,0.2806
183,Helix fulica,55,6.3194,0.1794
184,Helix fulica,B5,8.3852,-0.9062
185,Achatina nemoralis,22,4.076,0.4724
186,Helix stag bc bv bv bv n bvbvnnalis,0D,9.5371,0.7949
187,Achatina aspera,1F,1.8512,-0.9022
188,Bulimus fulica,38,7.5479,-0.8457
189,Helix fulica,7F,9.423,0.9289
190,Achatina nemoralis,8B,6.5067,-0.6267
191,Lymnaea ovata,5C,7.903,0.7422
192,Achatina stagnalis,CC,11.1964,-0.8221
193, nm c nm cx mn cx mn xc nm xc mnxcBulimus stagnalis,33,3.2976,-0.6039
194,Achatina ovata,92,14.9523,-0.6075
195,Bulimus nemoralis,48,13.0748,-0.1236
196,Bulimus ovata,8A,11.juidjerjduiccjdfnmrejduijerdujernmdjujernjducxdjenrdjucdjerjdui2893,-0.5248
197,Achatina ovata,B2,1.7122,0.5711
198,Cepaea aspera,BA,11.9634,-0.2807
199,Lymnaea stagnalis,6B,6.9334,-0.9262
200,Achatina stagnalis,A3,1.5562,-0.9045
